season,qb_name,team,dropbacks,QBVision_Rating,next_QBVision_Rating,epa_per_db,context_pred_epa_per_db,skill_residual,int_rate,sack_rate,ay_per_att,yac_per_comp,team_sack_rate_allowed,team_yac_per_comp,team_no_huddle_rate,efficiency_score,decision_score,explosiveness_score,mobility_score
2024,K.Murray,ARI,611,55.58928162982386,53.2001593918738,0.111128666,0.09110219292697504,0.020026473073024964,0.0180032733224222,0.0490998363338788,6.478947368421053,5.290323,0.0489396411092985,5.2727275,0.1223491027732463,0.5978438576529077,0.4229952075104825,-0.6338982358689497,0.0
2025,K.Murray,ARI,193,53.2001593918738,,0.07894335,-0.027494652694928866,0.10643800269492887,0.0155440414507772,0.082901554404145,5.31638418079096,4.9545455,0.0788770053475935,4.943794,0.1323529411764706,0.29963773373934954,-0.06796816347869267,-1.9349667484057949,0.0
2022,K.Pickett,PIT,445,50.2179391237051,38.56742100436762,-0.0019503229,-0.017137451165475992,0.015187128265475991,0.0202247191011235,0.0606741573033707,7.091127098321343,4.2530613,0.0591900311526479,3.9505494,0.1152647975077881,-0.1867226220772591,0.02735641694553724,-0.30581478475402724,0.0
2023,K.Pickett,PIT,361,38.56742100436762,,-0.11862172,0.0535329293551005,-0.1721546493551005,0.0110803324099723,0.0637119113573407,6.593659942363113,5.1641793,0.0636042402826855,5.380805,0.0865724381625441,-0.6560244903363324,0.7610591872817952,-0.591700656100993,0.0
2018,L.Jackson,BAL,203,43.729902776384456,87.49875293227802,-0.013412448,0.04981241027001436,-0.06322485827001437,0.0147783251231527,0.0788177339901477,7.93010752688172,5.151515,0.0526315789473684,4.679641,0.0855263157894736,-0.4945590545094524,0.2386650363394119,0.3774130770085225,0.0
2019,L.Jackson,BAL,460,87.49875293227802,63.26461124658776,0.36787125,0.06555458920283277,0.30231666079716724,0.0130434782608695,0.05,8.380614657210401,5.1320753,0.0554455445544554,5.0069203,0.0356435643564356,2.5192413013710477,0.7101118935402189,0.8505129247140591,0.0
2020,L.Jackson,BAL,452,63.26461124658776,57.28210797518211,0.17670608,0.024073775965418896,0.15263230403458108,0.0199115044247787,0.0641592920353982,8.05955334987593,4.789256,0.0658436213991769,4.910506,0.0493827160493827,0.7770960346519072,-0.1647933316669432,0.9095757075137214,0.0
2021,L.Jackson,BAL,470,57.28210797518211,57.375614289379484,0.057100054,-0.049165612238413335,0.10626566623841333,0.0276595744680851,0.0808510638297872,8.394299287410927,4.6747966,0.0767160161507402,4.335859,0.0861372812920592,0.13718841814464466,-0.9459052202495145,1.5253885432723342,0.0
2022,L.Jackson,BAL,378,57.375614289379484,64.32965844826576,0.04996331,-0.0014676988477439687,0.051431008847743966,0.0185185185185185,0.0687830687830687,7.823863636363637,4.7980294,0.0674955595026643,4.5666666,0.0532859680284191,0.23270982803532136,0.047529793768472606,0.5664820790613199,0.0
2023,L.Jackson,BAL,560,64.32965844826576,83.27419333175227,0.10375037,0.054779981224786986,0.04897038877521301,0.0125,0.0660714285714285,7.77327935222672,5.697068,0.0674342105263157,5.570122,0.0625,0.85858485955763,0.6323324871166368,0.723635585922847,0.0
